genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
indie rock,0.717,0.313,0.345,207.969,0.166,0.0681,0.1,0.000822
indie pop,0.472,0.702,0.664,119.852,0.524,0.188,0.107,0.00352
indie rock,0.472,0.702,0.664,119.852,0.524,0.188,0.107,0.00352
indie pop,0.255,0.822,0.668,100.934,0.709,0.0855,0.349,1.72e-05
indie rock,0.255,0.822,0.668,100.934,0.709,0.0855,0.349,1.72e-05
indie pop,0.00119,0.919,0.474,149.055,0.309,0.0779,0.314,1.82e-06
indie rock,0.00119,0.919,0.474,149.055,0.309,0.0779,0.314,1.82e-06
indie pop,0.179,0.65,0.584,92.01,0.493,0.0427,0.0935,0.000283
indie rock,0.179,0.65,0.584,92.01,0.493,0.0427,0.0935,0.000283
indie pop,0.565,0.442,0.367,80.066,0.222,0.0644,0.135,0.000416
indie rock,0.565,0.442,0.367,80.066,0.222,0.0644,0.135,0.000416
indie pop,0.918,0.232,0.272,180.314,0.366,0.0397,0.113,0.0236
indie rock,0.918,0.232,0.272,180.314,0.366,0.0397,0.113,0.0236
indie christmas,0.987,0.154,0.516,169.946,0.42,0.0383,0.115,0.0383
indie folk,0.987,0.154,0.516,169.946,0.42,0.0383,0.115,0.0383
indie pop,0.987,0.154,0.516,169.946,0.42,0.0383,0.115,0.0383
indie christmas,0.979,0.166,0.564,90.99,0.253,0.0327,0.126,0.282
indie folk,0.979,0.166,0.564,90.99,0.253,0.0327,0.126,0.282
indie pop,0.979,0.166,0.564,90.99,0.253,0.0327,0.126,0.282
indie christmas,0.973,0.288,0.441,143.921,0.237,0.0371,0.114,0.00107
indie folk,0.973,0.288,0.441,143.921,0.237,0.0371,0.114,0.00107
indie pop,0.973,0.288,0.441,143.921,0.237,0.0371,0.114,0.00107
indie christmas,0.952,0.102,0.389,124.017,0.057,0.0375,0.117,0.22
indie folk,0.952,0.102,0.389,124.017,0.057,0.0375,0.117,0.22
indie pop,0.952,0.102,0.389,124.017,0.057,0.0375,0.117,0.22
indie christmas,0.972,0.144,0.57,170.015,0.699,0.0432,0.314,0.486
indie folk,0.972,0.144,0.57,170.015,0.699,0.0432,0.314,0.486
indie pop,0.972,0.144,0.57,170.015,0.699,0.0432,0.314,0.486
indie christmas,0.974,0.104,0.226,76.863,0.147,0.0538,0.119,0.325
indie folk,0.974,0.104,0.226,76.863,0.147,0.0538,0.119,0.325
indie pop,0.974,0.104,0.226,76.863,0.147,0.0538,0.119,0.325
indie christmas,0.987,0.15,0.516,158.964,0.477,0.0405,0.113,0.0843
indie folk,0.987,0.15,0.516,158.964,0.477,0.0405,0.113,0.0843
indie pop,0.987,0.15,0.516,158.964,0.477,0.0405,0.113,0.0843
indie christmas,0.96,0.247,0.397,198.007,0.25,0.0531,0.117,0.515
indie folk,0.96,0.247,0.397,198.007,0.25,0.0531,0.117,0.515
indie pop,0.96,0.247,0.397,198.007,0.25,0.0531,0.117,0.515
indie christmas,0.962,0.0858,0.563,119.823,0.251,0.0408,0.0867,3.99e-06
indie folk,0.962,0.0858,0.563,119.823,0.251,0.0408,0.0867,3.99e-06
indie pop,0.962,0.0858,0.563,119.823,0.251,0.0408,0.0867,3.99e-06
indie christmas,0.946,0.153,0.418,82.611,0.361,0.0331,0.131,0.00119
indie folk,0.946,0.153,0.418,82.611,0.361,0.0331,0.131,0.00119
indie pop,0.946,0.153,0.418,82.611,0.361,0.0331,0.131,0.00119
indie christmas,0.953,0.146,0.319,76.154,0.129,0.0319,0.128,0.0358
indie folk,0.953,0.146,0.319,76.154,0.129,0.0319,0.128,0.0358
indie pop,0.953,0.146,0.319,76.154,0.129,0.0319,0.128,0.0358
indie r&b,0.639,0.382,0.587,120.023,0.322,0.0345,0.203,0.0323
indie r&b,0.00175,0.645,0.458,203.717,0.466,0.0779,0.287,0.000199
indie r&b,0.00348,0.915,0.688,112.034,0.668,0.0796,0.344,0.0158
indie r&b,0.000886,0.965,0.491,155.974,0.586,0.0875,0.465,0.00111
