genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
progressive electro house,0.154,0.896,0.651,126.038,0.59,0.0382,0.111,0
electro house,0.0148,0.822,0.55,144.981,0.198,0.0832,0.605,1.27e-06
progressive electro house,0.0148,0.822,0.55,144.981,0.198,0.0832,0.605,1.27e-06
electro house,0.128,0.717,0.679,129,0.443,0.0383,0.291,7.24e-05
progressive electro house,0.128,0.717,0.679,129,0.443,0.0383,0.291,7.24e-05
electro house,0.00188,0.945,0.574,128.016,0.0855,0.0528,0.165,0.143
progressive electro house,0.00188,0.945,0.574,128.016,0.0855,0.0528,0.165,0.143
electro house,0.208,0.787,0.518,127.914,0.451,0.0763,0.133,0
progressive electro house,0.208,0.787,0.518,127.914,0.451,0.0763,0.133,0
electro house,0.267,0.929,0.596,128.017,0.344,0.0459,0.11,0.000142
progressive electro house,0.267,0.929,0.596,128.017,0.344,0.0459,0.11,0.000142
electro house,0.796,0.332,0.36,120.084,0.0369,0.032,0.572,0.158
progressive electro house,0.796,0.332,0.36,120.084,0.0369,0.032,0.572,0.158
electro house,0.158,0.822,0.593,128.939,0.123,0.064,0.194,0.000344
progressive electro house,0.158,0.822,0.593,128.939,0.123,0.064,0.194,0.000344
electro house,0.034,0.882,0.572,128.031,0.204,0.0431,0.0476,1.45e-06
progressive electro house,0.034,0.882,0.572,128.031,0.204,0.0431,0.0476,1.45e-06
electro latino,0.641,0.69,0.655,174.089,0.937,0.0383,0.0909,0
electro latino,0.185,0.894,0.694,115.979,0.817,0.0436,0.13,0
electro latino,0.0601,0.932,0.694,128.035,0.794,0.0388,0.426,0
electro latino,0.18,0.856,0.692,127.982,0.841,0.0839,0.0961,0
electro latino,0.23,0.856,0.629,128.113,0.405,0.252,0.611,0
electro latino,0.0868,0.859,0.676,128.007,0.635,0.105,0.147,4.07e-05
electro latino,0.115,0.713,0.624,130.028,0.732,0.11,0.366,0
electro latino,0.0782,0.793,0.734,139.963,0.928,0.3,0.0656,0
electro latino,0.177,0.826,0.7,119.915,0.727,0.0584,0.298,0
electro latino,0.0593,0.849,0.692,128.011,0.881,0.0315,0.0909,0.000438
electro latino,0.0135,0.877,0.603,124.962,0.676,0.0421,0.293,0
electro latino,0.221,0.723,0.827,91.991,0.964,0.0735,0.121,0
electro latino,0.277,0.742,0.692,170.014,0.914,0.0619,0.287,1.89e-05
electro latino,0.0257,0.689,0.756,128.012,0.323,0.0978,0.319,0.00286
electro house,0.726,0.48,0.217,77.657,0.0375,0.0425,0.133,0.314
electro house,0.0586,0.805,0.524,128.041,0.389,0.0888,0.754,2.37e-06
electro house,0.0269,0.899,0.588,128.055,0.201,0.233,0.0597,0
electro house,0.122,0.899,0.653,128.019,0.233,0.197,0.447,0
electro house,0.00443,0.857,0.696,128.006,0.192,0.0427,0.207,0.00453
electro house,0.0147,0.907,0.701,127.985,0.91,0.0548,0.167,0
electro house,0.00691,0.85,0.765,133.009,0.456,0.14,0.134,3.07e-05
electro house,0.0142,0.96,0.576,128.006,0.627,0.187,0.133,0.166
electro house,0.0122,0.5,0.438,139.892,0.281,0.038,0.552,0.687
electro house,0.605,0.54,0.241,64.494,0.0381,0.041,0.383,0.12
electro house,0.00611,0.922,0.48,127.032,0.228,0.317,0.366,0.255
electro house,0.0246,0.795,0.639,128.013,0.438,0.0416,0.509,0.000324
electro house,0.000779,0.88,0.739,131.977,0.377,0.0532,0.458,0.00105
electro house,0.00315,0.694,0.565,128.022,0.46,0.0717,0.0738,0.00334
electro house,0.00137,0.831,0.576,124.932,0.229,0.055,0.117,0.000157
electro house,0.0277,0.979,0.619,130.009,0.137,0.108,0.296,0.06
electro house,0.356,0.435,0.27,120.829,0.0374,0.0392,0.093,0.0399
electro house,0.188,0.903,0.605,120.041,0.545,0.0637,0.0989,0.00814
electro house,0.0477,0.789,0.516,127.883,0.437,0.102,0.195,0.000374
electro house,0.00452,0.671,0.61,130.033,0.608,0.128,0.0927,5.49e-05
electro house,0.0199,0.879,0.316,148.874,0.143,0.129,0.301,0
electro house,0.265,0.424,0.237,85.375,0.0364,0.0325,0.17,0.751
electro house,0.0261,0.956,0.744,127.957,0.324,0.041,0.229,0.588
