genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
teen pop,0.114,0.818,0.627,123.456,0.53,0.057,0.0504,0
teen pop,0.227,0.527,0.586,141.839,0.485,0.0309,0.0963,0
pop rap,0.227,0.708,0.679,75.035,0.322,0.129,0.199,0
pop rap,0.0985,0.675,0.794,125.001,0.522,0.167,0.1,0
pop rap,0.149,0.812,0.732,138.042,0.182,0.0745,0.0958,0
pop rap,0.0463,0.656,0.729,140.029,0.492,0.0778,0.332,0
pop rap,0.134,0.587,0.794,154.001,0.488,0.228,0.146,0
pop rap,0.196,0.522,0.855,139.917,0.365,0.226,0.1,0
pop rap,0.113,0.602,0.726,89.007,0.639,0.0383,0.0864,0
pop rap,0.0788,0.597,0.586,119.393,0.233,0.311,0.131,0
pop rap,0.0625,0.554,0.918,115.017,0.178,0.0799,0.423,4.05e-05
pop rap,0.415,0.576,0.47,166.023,0.353,0.284,0.0655,0
pop rap,0.207,0.629,0.617,113.052,0.268,0.177,0.174,5.03e-06
pop rap,0.151,0.839,0.775,108.482,0.433,0.148,0.184,6.98e-05
pop rap,0.274,0.726,0.664,75.015,0.507,0.0382,0.0985,0
hip pop,0.0837,0.456,0.759,123.965,0.274,0.287,0.106,1.36e-05
hip pop,0.384,0.401,0.751,133.921,0.394,0.0699,0.109,0.000338
hip pop,0.077,0.496,0.501,81.871,0.182,0.0878,0.137,0.0235
hip pop,0.329,0.46,0.656,144.037,0.173,0.0423,0.114,0
hip pop,0.425,0.699,0.69,139.83,0.462,0.184,0.399,0.0109
hip pop,0.403,0.485,0.669,120.137,0.239,0.731,0.0973,0
hip pop,0.102,0.46,0.837,124.924,0.207,0.0501,0.187,0.000297
hip pop,0.435,0.66,0.667,167.888,0.651,0.381,0.297,0
hip pop,0.613,0.572,0.679,103.038,0.0615,0.0408,0.0911,5.68e-05
hip pop,0.13,0.438,0.74,119.964,0.407,0.155,0.314,0
hip pop,0.207,0.751,0.831,109.96,0.323,0.233,0.0817,0.00893
hip pop,0.0676,0.609,0.964,129.997,0.648,0.193,0.264,4.83e-06
hip pop,0.00218,0.708,0.651,127.991,0.712,0.0503,0.14,0.00605
hip pop,0.00752,0.608,0.386,169.291,0.182,0.209,0.0457,1.39e-05
hip pop,0.256,0.662,0.503,171.949,0.137,0.297,0.112,0
hip pop,0.89,0.214,0.338,66.244,0.112,0.0305,0.0798,1.42e-05
dance pop,0.00308,0.625,0.512,129.935,0.203,0.0508,0.346,0.000164
pop,0.00308,0.625,0.512,129.935,0.203,0.0508,0.346,0.000164
dance pop,0.103,0.534,0.436,122.822,0.312,0.0773,0.507,0.00643
pop,0.103,0.534,0.436,122.822,0.312,0.0773,0.507,0.00643
dance pop,0.00969,0.621,0.589,140.03,0.398,0.0468,0.181,0.00104
pop,0.00969,0.621,0.589,140.03,0.398,0.0468,0.181,0.00104
dance pop,0.242,0.434,0.875,120.065,0.772,0.091,0.234,0.00146
pop,0.242,0.434,0.875,120.065,0.772,0.091,0.234,0.00146
dance pop,0.0424,0.466,0.571,111.58,0.53,0.173,0.125,0.00262
pop,0.0424,0.466,0.571,111.58,0.53,0.173,0.125,0.00262
dance pop,0.0296,0.441,0.412,185.571,0.178,0.291,0.306,0.0726
pop,0.0296,0.441,0.412,185.571,0.178,0.291,0.306,0.0726
dance pop,0.122,0.541,0.589,133.97,0.239,0.163,0.0882,0.00414
pop,0.122,0.541,0.589,133.97,0.239,0.163,0.0882,0.00414
dance pop,0.5,0.403,0.495,140.415,0.565,0.301,0.7,0
pop,0.5,0.403,0.495,140.415,0.565,0.301,0.7,0
dance pop,0.0673,0.428,0.557,103.009,0.0971,0.137,0.139,0.0019
pop,0.0673,0.428,0.557,103.009,0.0971,0.137,0.139,0.0019
dance pop,0.171,0.792,0.47,170.085,0.219,0.26,0.313,1.28e-06
pop,0.171,0.792,0.47,170.085,0.219,0.26,0.313,1.28e-06
dance pop,0.0953,0.688,0.476,140.553,0.363,0.245,0.438,0.000645
pop,0.0953,0.688,0.476,140.553,0.363,0.245,0.438,0.000645
dance pop,0.643,0.334,0.527,80.334,0.185,0.0681,0.114,0
pop,0.643,0.334,0.527,80.334,0.185,0.0681,0.114,0
dance pop,0.573,0.188,0.342,102.601,0.039,0.033,0.108,0.017
pop,0.573,0.188,0.342,102.601,0.039,0.033,0.108,0.017
dance pop,0.541,0.435,0.459,90.567,0.0634,0.064,0.119,6.51e-05
pop,0.541,0.435,0.459,90.567,0.0634,0.064,0.119,6.51e-05
dance pop,0.0128,0.705,0.747,136.024,0.571,0.126,0.126,0
pop,0.0128,0.705,0.747,136.024,0.571,0.126,0.126,0
dance pop,0.241,0.659,0.639,136.801,0.456,0.215,0.484,8.33e-06
pop,0.241,0.659,0.639,136.801,0.456,0.215,0.484,8.33e-06
dance pop,0.161,0.763,0.514,139.748,0.469,0.052,0.118,0
pop,0.161,0.763,0.514,139.748,0.469,0.052,0.118,0
dance pop,0.0273,0.763,0.732,98.011,0.702,0.0729,0.33,0
pop,0.0273,0.763,0.732,98.011,0.702,0.0729,0.33,0
dance pop,0.27,0.445,0.872,120.024,0.771,0.0934,0.345,0.0012
pop,0.27,0.445,0.872,120.024,0.771,0.0934,0.345,0.0012
dance pop,0.023,0.808,0.354,195.956,0.399,0.176,0.259,2.42e-05
pop,0.023,0.808,0.354,195.956,0.399,0.176,0.259,2.42e-05
pop,0.131,0.772,0.727,104.933,0.522,0.0295,0.0569,0
pop,0.607,0.745,0.609,120.08,0.56,0.0474,0.165,0
pop,0.952,0.454,0.418,77.385,0.216,0.0279,0.133,1.41e-05
pop,0.221,0.402,0.638,114.994,0.229,0.0305,0.0875,0
pop,0.00443,0.673,0.611,108.005,0.479,0.0254,0.107,2.23e-06
pop,0.0217,0.574,0.703,159.93,0.73,0.0851,0.0753,0
pop,0.957,0.264,0.439,67.056,0.287,0.0318,0.169,0
pop,0.0654,0.844,0.551,159.963,0.75,0.0376,0.169,0
pop,0.317,0.46,0.52,154.85,0.184,0.0314,0.149,0
pop,0.717,0.368,0.686,116.909,0.355,0.028,0.111,0.00202
pop,0.89,0.33,0.552,135.223,0.301,0.0283,0.105,0
pop rap,0.0624,0.535,0.683,145.068,0.15,0.111,0.243,1.24e-05
pop rap,0.0178,0.735,0.558,87.096,0.656,0.278,0.211,4.31e-05
pop rap,0.068,0.704,0.86,144.979,0.544,0.383,0.533,2.58e-05
pop rap,0.0164,0.47,0.815,128.051,0.282,0.204,0.0699,0.234
pop rap,0.225,0.948,0.594,119.494,0.495,0.309,0.397,0
pop rap,0.0312,0.641,0.595,87.939,0.357,0.216,0.195,0
pop rap,0.0515,0.71,0.741,85.981,0.346,0.217,0.425,0
pop rap,0.0178,0.458,0.495,119.972,0.0765,0.0485,0.4,0.0322
pop rap,0.00305,0.553,0.603,83.49,0.591,0.0359,0.0776,0.532
pop rap,0.0581,0.881,0.755,79.669,0.823,0.227,0.182,0.000585
pop rap,0.315,0.637,0.618,87.002,0.327,0.0835,0.473,0
pop rap,0.00131,0.476,0.786,114.39,0.11,0.0553,0.134,0
pop rap,0.0986,0.786,0.802,118,0.902,0.162,0.181,0
pop rap,0.0192,0.6,0.723,84.769,0.354,0.378,0.121,0.00766
pop rap,0.00152,0.501,0.756,135.933,0.23,0.129,0.257,0.00203
pop rap,0.0767,0.735,0.601,178.731,0.348,0.342,0.305,0.0907
pop rap,0.182,0.865,0.707,93.123,0.327,0.116,0.0835,0
pop rap,0.0215,0.702,0.688,94.006,0.731,0.0499,0.128,0
pop rap,0.0242,0.766,0.854,118.004,0.788,0.141,0.0793,0
pop rap,0.0483,0.841,0.71,87.502,0.843,0.204,0.104,0
pop rap,0.0446,0.848,0.769,123.01,0.423,0.0588,0.106,7.74e-06
pop rap,0.000704,0.827,0.657,145.889,0.698,0.0734,0.065,0.00534
pop rap,0.0259,0.841,0.737,127.999,0.75,0.0476,0.672,0
teen pop,0.149,0.744,0.68,124.785,0.53,0.086,0.181,0
teen pop,0.00795,0.884,0.757,120.012,0.394,0.0404,0.0973,5.87e-05
teen pop,0.0147,0.499,0.811,111.016,0.471,0.118,0.342,2.44e-06
teen pop,0.0223,0.593,0.672,98.02,0.446,0.0304,0.214,0
teen pop,0.171,0.741,0.573,92.021,0.54,0.0788,0.104,0
teen pop,0.181,0.673,0.607,88.952,0.215,0.0611,0.069,0
teen pop,0.623,0.408,0.375,126.712,0.161,0.0331,0.123,0
teen pop,0.00315,0.736,0.711,106.01,0.7,0.104,0.0731,0.000637
teen pop,0.0207,0.867,0.684,109.972,0.237,0.053,0.0733,0.00355
teen pop,0.189,0.974,0.74,120.041,0.762,0.0903,0.0849,0
teen pop,0.2,0.902,0.652,166.926,0.52,0.119,0.716,0
metropopolis,0.96,0.193,0.103,81.847,0.0388,0.0413,0.0886,0.952
pop,0.96,0.193,0.103,81.847,0.0388,0.0413,0.0886,0.952
synthpop,0.96,0.193,0.103,81.847,0.0388,0.0413,0.0886,0.952
metropopolis,0.00162,0.863,0.575,122.027,0.722,0.0464,0.286,0.00027
pop,0.00162,0.863,0.575,122.027,0.722,0.0464,0.286,0.00027
synthpop,0.00162,0.863,0.575,122.027,0.722,0.0464,0.286,0.00027
metropopolis,0.0419,0.819,0.661,108.985,0.313,0.0476,0.114,0
pop,0.0419,0.819,0.661,108.985,0.313,0.0476,0.114,0
synthpop,0.0419,0.819,0.661,108.985,0.313,0.0476,0.114,0
metropopolis,0.00509,0.685,0.573,100.05,0.18,0.0348,0.174,8.19e-06
pop,0.00509,0.685,0.573,100.05,0.18,0.0348,0.174,8.19e-06
synthpop,0.00509,0.685,0.573,100.05,0.18,0.0348,0.174,8.19e-06
metropopolis,0.279,0.687,0.697,154.921,0.733,0.0537,0.0861,5.11e-06
pop,0.279,0.687,0.697,154.921,0.733,0.0537,0.0861,5.11e-06
synthpop,0.279,0.687,0.697,154.921,0.733,0.0537,0.0861,5.11e-06
metropopolis,0.0273,0.87,0.606,165.966,0.807,0.0831,0.191,4.43e-06
pop,0.0273,0.87,0.606,165.966,0.807,0.0831,0.191,4.43e-06
synthpop,0.0273,0.87,0.606,165.966,0.807,0.0831,0.191,4.43e-06
metropopolis,0.0279,0.703,0.512,184.017,0.325,0.14,0.111,5.16e-05
pop,0.0279,0.703,0.512,184.017,0.325,0.14,0.111,5.16e-05
synthpop,0.0279,0.703,0.512,184.017,0.325,0.14,0.111,5.16e-05
metropopolis,0.0712,0.739,0.595,113.961,0.466,0.0431,0.138,0
pop,0.0712,0.739,0.595,113.961,0.466,0.0431,0.138,0
synthpop,0.0712,0.739,0.595,113.961,0.466,0.0431,0.138,0
metropopolis,0.24,0.617,0.254,189.425,0.271,0.0537,0.125,0
pop,0.24,0.617,0.254,189.425,0.271,0.0537,0.125,0
synthpop,0.24,0.617,0.254,189.425,0.271,0.0537,0.125,0
metropopolis,0.106,0.656,0.718,98.971,0.577,0.0344,0.092,2.11e-06
pop,0.106,0.656,0.718,98.971,0.577,0.0344,0.092,2.11e-06
synthpop,0.106,0.656,0.718,98.971,0.577,0.0344,0.092,2.11e-06
metropopolis,0.0301,0.82,0.627,101.944,0.52,0.038,0.128,1.72e-05
pop,0.0301,0.82,0.627,101.944,0.52,0.038,0.128,1.72e-05
synthpop,0.0301,0.82,0.627,101.944,0.52,0.038,0.128,1.72e-05
metropopolis,0.0657,0.759,0.64,115.018,0.707,0.0431,0.0951,0
pop,0.0657,0.759,0.64,115.018,0.707,0.0431,0.0951,0
synthpop,0.0657,0.759,0.64,115.018,0.707,0.0431,0.0951,0
metropopolis,0.0818,0.639,0.429,174.114,0.235,0.0714,0.139,2.3e-06
pop,0.0818,0.639,0.429,174.114,0.235,0.0714,0.139,2.3e-06
synthpop,0.0818,0.639,0.429,174.114,0.235,0.0714,0.139,2.3e-06
metropopolis,0.00198,0.829,0.566,137.005,0.665,0.0333,0.0994,4.29e-06
pop,0.00198,0.829,0.566,137.005,0.665,0.0333,0.0994,4.29e-06
synthpop,0.00198,0.829,0.566,137.005,0.665,0.0333,0.0994,4.29e-06
metropopolis,0.351,0.641,0.657,130.955,0.459,0.0448,0.091,0
pop,0.351,0.641,0.657,130.955,0.459,0.0448,0.091,0
synthpop,0.351,0.641,0.657,130.955,0.459,0.0448,0.091,0
metropopolis,0.00866,0.707,0.494,142.011,0.345,0.0353,0.08,0.000211
pop,0.00866,0.707,0.494,142.011,0.345,0.0353,0.08,0.000211
synthpop,0.00866,0.707,0.494,142.011,0.345,0.0353,0.08,0.000211
metropopolis,0.0298,0.641,0.657,99.011,0.626,0.0349,0.0379,0
pop,0.0298,0.641,0.657,99.011,0.626,0.0349,0.0379,0
synthpop,0.0298,0.641,0.657,99.011,0.626,0.0349,0.0379,0
metropopolis,0.276,0.805,0.649,172.202,0.62,0.28,0.419,0
pop,0.276,0.805,0.649,172.202,0.62,0.28,0.419,0
synthpop,0.276,0.805,0.649,172.202,0.62,0.28,0.419,0
metropopolis,0.041,0.688,0.569,111.912,0.532,0.0302,0.128,0
