genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
classical,0.83,0.19,0.287,88.194,0.332,0.0322,0.0621,0.0374
classical christmas,0.83,0.19,0.287,88.194,0.332,0.0322,0.0621,0.0374
classical,0.88,0.431,0.363,104.431,0.922,0.0267,0.331,0.00371
classical christmas,0.88,0.431,0.363,104.431,0.922,0.0267,0.331,0.00371
classical,0.885,0.38,0.298,175.288,0.948,0.0291,0.235,0.00127
classical christmas,0.885,0.38,0.298,175.288,0.948,0.0291,0.235,0.00127
classical,0.853,0.239,0.262,92.844,0.427,0.0306,0.119,0.000196
classical christmas,0.853,0.239,0.262,92.844,0.427,0.0306,0.119,0.000196
classical,0.723,0.451,0.317,143.439,0.817,0.032,0.0681,3.31e-05
classical christmas,0.723,0.451,0.317,143.439,0.817,0.032,0.0681,3.31e-05
classical,0.842,0.109,0.334,96.659,0.45,0.0347,0.0701,0.00568
classical christmas,0.842,0.109,0.334,96.659,0.45,0.0347,0.0701,0.00568
classical,0.889,0.442,0.255,160.213,0.738,0.0281,0.196,0.00098
classical christmas,0.889,0.442,0.255,160.213,0.738,0.0281,0.196,0.00098
classical,0.883,0.187,0.269,84.412,0.355,0.0308,0.287,0.08
classical christmas,0.883,0.187,0.269,84.412,0.355,0.0308,0.287,0.08
classical,0.863,0.318,0.147,74.034,0.466,0.0372,0.351,0.327
classical christmas,0.863,0.318,0.147,74.034,0.466,0.0372,0.351,0.327
classical,0.916,0.512,0.397,93.322,0.939,0.0249,0.123,0.00726
classical christmas,0.916,0.512,0.397,93.322,0.939,0.0249,0.123,0.00726
classical,0.894,0.336,0.346,79.567,0.621,0.0257,0.0857,0.00579
classical christmas,0.894,0.336,0.346,79.567,0.621,0.0257,0.0857,0.00579
classical,0.718,0.271,,0,,,0.328,0.000438
classical christmas,0.718,0.271,,0,,,0.328,0.000438
classical,0.888,0.15,0.31,140.453,0.298,0.0374,0.0697,0.00528
classical christmas,0.888,0.15,0.31,140.453,0.298,0.0374,0.0697,0.00528
classical,0.889,0.453,0.311,135.012,0.847,0.0301,0.131,0.00439
classical christmas,0.889,0.453,0.311,135.012,0.847,0.0301,0.131,0.00439
classical,0.866,0.196,0.28,95.884,0.416,0.0347,0.295,0.0001
classical christmas,0.866,0.196,0.28,95.884,0.416,0.0347,0.295,0.0001
classical,0.905,0.47,0.399,125.394,0.89,0.0303,0.325,0.00702
classical christmas,0.905,0.47,0.399,125.394,0.89,0.0303,0.325,0.00702
classical,0.821,0.274,0.295,98.311,0.519,0.0291,0.125,0.0438
classical christmas,0.821,0.274,0.295,98.311,0.519,0.0291,0.125,0.0438
classical,0.865,0.456,0.49,93.965,0.88,0.0256,0.104,0.0153
classical christmas,0.865,0.456,0.49,93.965,0.88,0.0256,0.104,0.0153
classical,0.849,0.425,0.288,91.893,0.895,0.0289,0.0936,0.0108
classical christmas,0.849,0.425,0.288,91.893,0.895,0.0289,0.0936,0.0108
classical,0.786,0.109,0.301,147.686,0.382,0.0365,0.0747,0.0957
classical christmas,0.786,0.109,0.301,147.686,0.382,0.0365,0.0747,0.0957
classical,0.874,0.507,0.423,95.604,0.873,0.0259,0.0636,0.00313
classical christmas,0.874,0.507,0.423,95.604,0.873,0.0259,0.0636,0.00313
classical,0.888,0.402,0.263,131.178,0.908,0.0316,0.0834,0.00939
classical christmas,0.888,0.402,0.263,131.178,0.908,0.0316,0.0834,0.00939
classical,0.862,0.121,0.305,117.08,0.327,0.04,0.118,0.367
classical christmas,0.862,0.121,0.305,117.08,0.327,0.04,0.118,0.367
classical,0.807,0.333,0.427,106.58,0.807,0.0291,0.193,0.0301
classical christmas,0.807,0.333,0.427,106.58,0.807,0.0291,0.193,0.0301
classical,0.807,0.297,0.253,89.394,0.541,0.0296,0.148,0.0155
classical christmas,0.807,0.297,0.253,89.394,0.541,0.0296,0.148,0.0155
classical,0.887,0.536,0.321,100.235,0.865,0.0278,0.117,0.0241
classical christmas,0.887,0.536,0.321,100.235,0.865,0.0278,0.117,0.0241
classical,0.921,0.261,0.381,135.44,0.791,0.0301,0.0764,0.000595
classical christmas,0.921,0.261,0.381,135.44,0.791,0.0301,0.0764,0.000595
classical performance,0.817,0.156,0.147,82.697,0.0757,0.0369,0.122,0.882
classical performance,0.846,0.0496,0.0665,71.292,0.0373,0.0442,0.104,0.422
classical performance,0.923,0.0635,0.382,155.688,0.315,0.0485,0.12,0.877
classical performance,0.815,0.524,0.289,144.691,0.099,0.0699,0.0811,0.798
classical performance,0.903,0.206,0.159,88.063,0.0968,0.0404,0.103,0.886
classical performance,0.889,0.119,0.0632,68.68,0.0399,0.0412,0.191,0.914
classical performance,0.904,0.131,0.216,126.986,0.114,0.0418,0.194,0.828
classical performance,0.748,0.409,0.154,82.594,0.14,0.0379,0.133,0.892
classical performance,0.953,0.128,0.12,86.215,0.0395,0.042,0.18,0.858
classical performance,0.947,0.0908,0.181,134.385,0.051,0.0429,0.0882,0.928
classical performance,0.896,0.325,0.406,75.377,0.275,0.0335,0.332,0.932
classical performance,0.906,0.0701,0.16,130.935,0.0381,0.0378,0.356,0.862
classical performance,0.865,0.247,0.156,85.7,0.0397,0.0444,0.112,0.943
classical performance,0.918,0.102,0.188,140.286,0.0566,0.0396,0.114,0.709
classical performance,0.931,0.185,0.146,70.454,0.0539,0.0353,0.0783,0.853
classical performance,0.887,0.00518,0.26,171.599,0.275,0.0353,0.166,0.507
classical performance,0.962,0.0217,0.141,141.376,0.0775,0.0414,0.0815,0.962
classical performance,0.921,0.162,0.142,60.52,0.382,0.0419,0.129,0.933
classical performance,0.935,0.116,0.169,129.852,0.0397,0.0406,0.0885,0.838
classical performance,0.933,0.0504,0.186,169.322,0.0997,0.0404,0.114,0.703
classical performance,0.889,0.014,0.632,105.17,0.865,0.0355,0.0517,0.725
classical performance,0.86,0.00945,0.234,129.342,0.0439,0.0422,0.0728,0.0384
classical performance,0.972,0.106,0.212,80.309,0.0633,0.0398,0.202,0.92
classical performance,0.947,0.0988,0.214,80.524,0.0554,0.0343,0.145,0.881
classical performance,0.961,0.0216,0.197,97.753,0.0562,0.0358,0.288,0.593
classical performance,0.922,0.243,0.359,146.374,0.282,0.0348,0.108,0.928
neoclassical,0.876,0.0467,0.405,79.995,0.112,0.0358,0.0941,0.225
neoclassical,0.909,0.154,0.21,134.405,0.0561,0.0473,0.0863,0.97
neoclassical,0.796,0.128,0.288,106.589,0.0391,0.0372,0.0927,0.919
neoclassical,0.878,0.0123,0.192,71.759,0.0349,0.0426,0.0751,0.936
neoclassical,0.927,0.0626,0.0704,206.357,0.0261,0.052,0.0982,0.99
neoclassical,0.733,0.0434,0.109,82.942,0.0312,0.0469,0.0762,0.955
neoclassical,0.776,0.576,0.595,100.049,0.167,0.0348,0.0945,0.898
neoclassical,0.9,0.0261,0.188,98.891,0.0524,0.0377,0.115,0.951
neoclassical,0.204,0.0116,0.217,65.295,0.0441,0.0439,0.139,0.971
neoclassical,0.951,0.0201,0.09,63.291,0.0366,0.0381,0.0878,0.906
neoclassical,0.707,0.00674,0.189,83.477,0.033,0.0458,0.0658,0.969
neoclassical,0.00053,0.493,0.613,120.106,0.184,0.036,0.096,0.81
neoclassical,0.931,0.112,0.222,98.527,0.0393,0.0407,0.0878,0.861
neoclassical,0.532,0.825,0.8,100.035,0.196,0.053,0.0901,0.934
neoclassical,0.16,0.194,0.175,106.304,0.0316,0.0459,0.132,0.765
neoclassical,0.731,0.0294,0.205,69.165,0.0359,0.0459,0.0821,0.98
neoclassical,0.144,0.114,0.193,49.876,0.0293,0.0329,0.112,0.796
neoclassical,0.972,0.0654,0.22,86.539,0.206,0.0441,0.0685,0.848
neoclassical,0.829,0.359,0.458,103.037,0.038,0.0358,0.0918,0.915
neoclassical,0.932,0.00696,0.164,127.134,0.0316,0.0579,0.0975,0.98
