genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
nu metal,0.000691,0.831,0.539,103.293,0.451,0.0883,0.0933,0.228
alternative metal,0.00347,0.939,0.269,159.436,0.115,0.299,0.318,0.000187
nu metal,0.00347,0.939,0.269,159.436,0.115,0.299,0.318,0.000187
alternative metal,0.0173,0.795,0.611,95.759,0.376,0.04,0.116,0
nu metal,0.0173,0.795,0.611,95.759,0.376,0.04,0.116,0
alternative metal,0.000201,0.953,0.446,120.013,0.227,0.0989,0.357,0.0241
nu metal,0.000201,0.953,0.446,120.013,0.227,0.0989,0.357,0.0241
alternative metal,0.000331,0.88,0.428,169.597,0.943,0.0706,0.649,0.023
nu metal,0.000331,0.88,0.428,169.597,0.943,0.0706,0.649,0.023
alternative metal,0.000401,0.872,0.475,154.569,0.302,0.0415,0.118,0.0247
nu metal,0.000401,0.872,0.475,154.569,0.302,0.0415,0.118,0.0247
alternative metal,0.000409,0.891,0.534,144.445,0.668,0.0399,0.101,6.63e-05
nu metal,0.000409,0.891,0.534,144.445,0.668,0.0399,0.101,6.63e-05
alternative metal,1.74e-05,0.888,0.436,115.616,0.223,0.0347,0.0989,0.395
nu metal,1.74e-05,0.888,0.436,115.616,0.223,0.0347,0.0989,0.395
alternative metal,8.2e-05,0.709,0.306,154.146,0.0397,0.0375,0.101,0.00452
nu metal,8.2e-05,0.709,0.306,154.146,0.0397,0.0375,0.101,0.00452
alternative metal,0.000126,0.791,0.626,133.204,0.417,0.0721,0.439,0.0219
nu metal,0.000126,0.791,0.626,133.204,0.417,0.0721,0.439,0.0219
alternative metal,1.33e-05,0.96,0.406,188.74,0.775,0.115,0.182,0.87
nu metal,1.33e-05,0.96,0.406,188.74,0.775,0.115,0.182,0.87
alternative metal,0.000271,0.897,0.516,154.852,0.581,0.0582,0.164,0.468
nu metal,0.000271,0.897,0.516,154.852,0.581,0.0582,0.164,0.468
alternative metal,6.83e-05,0.933,0.369,146.81,0.516,0.0349,0.528,0.398
nu metal,6.83e-05,0.933,0.369,146.81,0.516,0.0349,0.528,0.398
alternative metal,0.00216,0.994,0.474,171.433,0.832,0.103,0.314,0.126
nu metal,0.00216,0.994,0.474,171.433,0.832,0.103,0.314,0.126
alternative metal,0.000121,0.775,0.29,86.712,0.208,0.0359,0.186,0.00281
nu metal,0.000121,0.775,0.29,86.712,0.208,0.0359,0.186,0.00281
alternative metal,1.98e-05,0.87,0.461,125.532,0.594,0.0379,0.159,0.0545
nu metal,1.98e-05,0.87,0.461,125.532,0.594,0.0379,0.159,0.0545
alternative metal,0.552,0.477,0.475,129.006,0.219,0.0266,0.133,0.00729
nu metal,0.552,0.477,0.475,129.006,0.219,0.0266,0.133,0.00729
alternative metal,0.000125,0.855,0.395,130.892,0.48,0.0356,0.16,0.0333
nu metal,0.000125,0.855,0.395,130.892,0.48,0.0356,0.16,0.0333
alternative metal,1.22e-05,0.885,0.602,115.018,0.448,0.0476,0.13,0.0404
alternative metal,0.000105,0.97,0.516,161.941,0.664,0.0447,0.097,0
alternative metal,0.0377,0.914,0.489,76.016,0.402,0.0691,0.319,0
alternative metal,0.0102,0.736,0.766,100,0.795,0.0366,0.024,6.06e-05
alternative metal,5.24e-05,0.98,0.432,160.012,0.721,0.0547,0.15,0.0627
alternative metal,0.139,0.895,0.42,165.93,0.477,0.0457,0.0903,0
alternative metal,0.0184,0.927,0.725,105.995,0.778,0.0303,0.256,0
alternative metal,0.00364,0.962,0.582,128.056,0.502,0.0347,0.493,1.79e-06
alternative metal,0.13,0.939,0.548,164.154,0.827,0.0272,0.0875,0
alternative metal,0.00393,0.826,0.729,156.005,0.956,0.0556,0.0605,0
alternative metal,0.0242,0.895,0.624,102.009,0.872,0.0258,0.384,0
alternative metal,0.457,0.58,0.259,130.466,0.0338,0.0564,0.963,0.000419
groove metal,0.457,0.58,0.259,130.466,0.0338,0.0564,0.963,0.000419
nu metal,0.457,0.58,0.259,130.466,0.0338,0.0564,0.963,0.000419
rap metal,0.457,0.58,0.259,130.466,0.0338,0.0564,0.963,0.000419
alternative metal,0.00191,0.989,0.453,102.784,0.039,0.111,0.0806,0.0059
groove metal,0.00191,0.989,0.453,102.784,0.039,0.111,0.0806,0.0059
nu metal,0.00191,0.989,0.453,102.784,0.039,0.111,0.0806,0.0059
rap metal,0.00191,0.989,0.453,102.784,0.039,0.111,0.0806,0.0059
alternative metal,0.000507,0.988,0.536,130.777,0.223,0.0671,0.366,6.45e-05
groove metal,0.000507,0.988,0.536,130.777,0.223,0.0671,0.366,6.45e-05
nu metal,0.000507,0.988,0.536,130.777,0.223,0.0671,0.366,6.45e-05
rap metal,0.000507,0.988,0.536,130.777,0.223,0.0671,0.366,6.45e-05
alternative metal,0.00591,0.939,0.398,92.027,0.228,0.0648,0.357,0.000881
groove metal,0.00591,0.939,0.398,92.027,0.228,0.0648,0.357,0.000881
nu metal,0.00591,0.939,0.398,92.027,0.228,0.0648,0.357,0.000881
rap metal,0.00591,0.939,0.398,92.027,0.228,0.0648,0.357,0.000881
alternative metal,0.000311,0.926,0.306,158.47,0.469,0.0912,0.0776,0.000644
groove metal,0.000311,0.926,0.306,158.47,0.469,0.0912,0.0776,0.000644
nu metal,0.000311,0.926,0.306,158.47,0.469,0.0912,0.0776,0.000644
rap metal,0.000311,0.926,0.306,158.47,0.469,0.0912,0.0776,0.000644
alternative metal,0.000326,0.972,0.563,91.922,0.614,0.0896,0.102,0.00499
groove metal,0.000326,0.972,0.563,91.922,0.614,0.0896,0.102,0.00499
nu metal,0.000326,0.972,0.563,91.922,0.614,0.0896,0.102,0.00499
rap metal,0.000326,0.972,0.563,91.922,0.614,0.0896,0.102,0.00499
alternative metal,0.000238,0.975,0.44,147.938,0.55,0.0806,0.407,0.0159
groove metal,0.000238,0.975,0.44,147.938,0.55,0.0806,0.407,0.0159
nu metal,0.000238,0.975,0.44,147.938,0.55,0.0806,0.407,0.0159
rap metal,0.000238,0.975,0.44,147.938,0.55,0.0806,0.407,0.0159
alternative metal,0.000652,0.873,0.319,136.378,0.0599,0.053,0.0724,0.1
groove metal,0.000652,0.873,0.319,136.378,0.0599,0.053,0.0724,0.1
nu metal,0.000652,0.873,0.319,136.378,0.0599,0.053,0.0724,0.1
rap metal,0.000652,0.873,0.319,136.378,0.0599,0.053,0.0724,0.1
alternative metal,0.000553,0.986,0.357,183.901,0.54,0.102,0.236,0.0106
groove metal,0.000553,0.986,0.357,183.901,0.54,0.102,0.236,0.0106
nu metal,0.000553,0.986,0.357,183.901,0.54,0.102,0.236,0.0106
rap metal,0.000553,0.986,0.357,183.901,0.54,0.102,0.236,0.0106
alternative metal,0.000844,0.979,0.5,161.921,0.497,0.0594,0.213,0.000317
groove metal,0.000844,0.979,0.5,161.921,0.497,0.0594,0.213,0.000317
nu metal,0.000844,0.979,0.5,161.921,0.497,0.0594,0.213,0.000317
rap metal,0.000844,0.979,0.5,161.921,0.497,0.0594,0.213,0.000317
alternative metal,0.00174,0.98,0.407,131.066,0.543,0.107,0.119,0.000112
groove metal,0.00174,0.98,0.407,131.066,0.543,0.107,0.119,0.000112
nu metal,0.00174,0.98,0.407,131.066,0.543,0.107,0.119,0.000112
rap metal,0.00174,0.98,0.407,131.066,0.543,0.107,0.119,0.000112
alternative metal,0.377,0.322,0.263,139.433,0.394,0.049,0.368,0.0742
groove metal,0.377,0.322,0.263,139.433,0.394,0.049,0.368,0.0742
nu metal,0.377,0.322,0.263,139.433,0.394,0.049,0.368,0.0742
rap metal,0.377,0.322,0.263,139.433,0.394,0.049,0.368,0.0742
alternative metal,0.0002,0.979,0.505,108.2,0.316,0.0715,0.334,0.00135
groove metal,0.0002,0.979,0.505,108.2,0.316,0.0715,0.334,0.00135
nu metal,0.0002,0.979,0.505,108.2,0.316,0.0715,0.334,0.00135
rap metal,0.0002,0.979,0.505,108.2,0.316,0.0715,0.334,0.00135
alternative metal,0.00976,0.643,0.62,124.974,0.105,0.0348,0.15,0.0231
groove metal,0.00976,0.643,0.62,124.974,0.105,0.0348,0.15,0.0231
nu metal,0.00976,0.643,0.62,124.974,0.105,0.0348,0.15,0.0231
rap metal,0.00976,0.643,0.62,124.974,0.105,0.0348,0.15,0.0231
metalcore,0.136,0.586,0.581,140.012,0.225,0.0284,0.231,0.855
metalcore,0.00174,0.92,0.526,130.024,0.3,0.0325,0.0845,0.912
metalcore,0.567,0.777,0.42,143.946,0.325,0.0314,0.174,0.793
metalcore,0.0611,0.676,0.556,139.97,0.219,0.0354,0.531,0.952
metalcore,0.0168,0.8,0.502,132.057,0.344,0.0352,0.0837,0.834
metalcore,0.00211,0.724,0.433,188.024,0.124,0.0433,0.148,0.865
metalcore,0.0248,0.66,0.459,114.996,0.289,0.0322,0.0955,0.763
metalcore,0.000656,0.813,0.473,102.007,0.399,0.0278,0.1,0.805
metalcore,0.598,0.396,0.305,114.463,0.0383,0.0423,0.0725,0.841
metalcore,0.000283,0.992,0.434,140.025,0.607,0.0536,0.322,0.968
metal,0.00679,0.868,0.291,117.931,0.151,0.0611,0.118,0.000413
metal,0.000419,0.974,0.176,185.491,0.331,0.132,0.107,2.62e-05
metal,0.0195,0.897,0.211,92.082,0.0731,0.201,0.108,0.000189
metal,0.00176,0.932,0.275,114.008,0.369,0.0865,0.116,0.109
